iter	Passed	Remaining
190	594	2518
191	596	2509
192	603	2523
193	605	2515
194	607	2506
195	609	2498
196	610	2490
197	613	2485
198	617	2486
199	619	2478
200	622	2473
201	624	2465
202	625	2457
203	627	2449
204	629	2441
205	635	2450
206	637	2442
207	639	2434
208	642	2430
209	644	2422
210	647	2420
211	651	2423
212	653	2415
213	655	2407
214	657	2399
215	659	2394
216	665	2400
217	667	2394
218	670	2389
219	672	2382
220	673	2375
221	675	2368
222	681	2372
223	682	2365
224	684	2358
225	686	2351
226	689	2346
227	690	2339
228	699	2353
229	701	2346
230	702	2339
231	704	2332
232	707	2327
233	711	2328
234	713	2322
235	715	2316
236	717	2310
237	719	2302
238	721	2296
239	723	2289
240	729	2297
241	731	2290
242	733	2283
243	735	2279
244	737	2272
245	739	2267
246	742	2264
247	744	2258
248	746	2252
249	748	2245
250	750	2239
251	753	2235
252	760	2244
253	762	2239
254	764	2233
255	766	2226
256	768	2221
257	773	2224
258	775	2219
259	777	2212
260	779	2206
261	781	2201
262	783	2196
263	789	2200
264	791	2195
265	793	2188
266	795	2182
267	797	2176
268	799	2172
269	804	2174
270	806	2169
271	809	2165
272	810	2159
273	813	2154
274	815	2149
275	821	2156
276	823	2150
277	825	2144
278	828	2140
279	830	2134
280	834	2135
281	837	2133
282	839	2127
283	841	2122
284	843	2117
285	846	2113
286	851	2116
287	853	2110
288	856	2106
289	857	2100
290	859	2094
291	861	2088
292	866	2091
293	868	2086
294	870	2080
295	873	2077
296	875	2072
297	877	2066
298	884	2072
299	885	2066
300	887	2060
301	889	2055
302	891	2049
303	894	2046
304	898	2047
305	900	2043
306	903	2038
307	904	2033
308	906	2027
309	908	2022
310	914	2026
311	916	2021
312	918	2015
313	920	2012
314	922	2006
315	924	2001
316	929	2002
317	931	1997
318	933	1992
319	935	1986
320	936	1981
321	939	1977
322	944	1978
323	946	1974
324	948	1969
325	950	1964
326	951	1959
327	953	1953
328	955	1948
329	961	1951
330	963	1946
331	965	1941
332	967	1937
333	969	1932
334	974	1934
335	977	1931
336	979	1926
337	980	1921
338	982	1916
339	985	1912
340	989	1911
341	990	1906
342	992	1901
343	995	1898
344	997	1893
345	999	1888
346	1001	1883
347	1007	1887
348	1009	1882
349	1011	1877
350	1013	1873
351	1015	1869
352	1020	1870
353	1023	1867
354	1025	1863
355	1028	1859
356	1031	1857
357	1039	1863
358	1044	1865
359	1046	1861
360	1051	1861
361	1055	1861
362	1058	1857
363	1061	1853
364	1062	1849
365	1068	1850
366	1070	1847
367	1073	1842
368	1075	1838
369	1077	1834
370	1082	1835
371	1085	1832
372	1088	1829
373	1090	1824
374	1092	1820
375	1100	1826
376	1102	1822
377	1104	1817
378	1107	1814
379	1109	1810
380	1117	1815
381	1119	1811
382	1121	1807
383	1124	1804
384	1175	1877
385	1180	1878
386	1183	1874
387	1185	1870
388	1188	1866
389	1190	1862
390	1198	1866
391	1200	1862
392	1205	1861
393	1211	1862
394	1214	1859
395	1216	1855
396	1226	1863
397	1228	1858
398	1232	1855
399	1234	1852
400	1236	1847
401	1238	1842
402	1245	1844
403	1253	1849
404	1263	1856
405	1265	1851
406	1267	1847
407	1270	1842
408	1273	1840
409	1276	1836
410	1277	1831
411	1280	1827
412	1282	1822
413	1284	1817
414	1285	1812
415	1291	1812
416	1293	1807
417	1295	1804
418	1298	1801
419	1300	1796
420	1303	1793
421	1307	1790
422	1311	1788
423	1313	1784
424	1315	1780
425	1321	1780
426	1323	1776
427	1325	1771
428	1328	1767
429	1329	1762
430	1331	1758
431	1333	1753
432	1335	1749
433	1337	1744
434	1339	1739
435	1341	1735
436	1343	1730
437	1345	1726
438	1350	1725
439	1352	1721
440	1354	1716
441	1356	1712
442	1358	1707
443	1360	1703
444	1364	1702
445	1366	1697
446	1368	1692
447	1371	1689
448	1372	1684
449	1374	1680
450	1376	1675
451	1379	1672
452	1381	1668
453	1384	1664
454	1386	1661
455	1393	1662
456	1395	1658
457	1398	1654
458	1400	1650
459	1410	1655
460	1415	1654
461	1417	1651
462	1420	1647
463	1423	1644
464	1425	1639
465	1427	1635
466	1429	1631
467	1430	1626
468	1436	1626
469	1440	1623
470	1442	1619
471	1444	1615
472	1446	1612
473	1450	1609
474	1453	1606
475	1458	1605
476	1460	1601
477	1462	1596
478	1467	1596
479	1470	1592
480	1472	1589
481	1474	1584
482	1477	1581
483	1478	1576
484	1482	1574
485	1486	1572
486	1488	1568
487	1490	1563
488	1492	1559
489	1494	1555
490	1499	1554
491	1501	1550
492	1503	1546
493	1505	1541
494	1507	1537
495	1508	1533
496	1513	1531
497	1516	1528
498	1518	1524
499	1520	1520
500	1522	1516
501	1524	1512
502	1528	1510
503	1532	1508
504	1534	1504
505	1536	1499
506	1538	1495
507	1539	1491
508	1543	1489
509	1547	1486
510	1549	1482
511	1551	1479
512	1553	1474
513	1555	1470
514	1561	1470
515	1564	1467
516	1566	1463
517	1567	1459
518	1570	1455
519	1572	1451
520	1577	1450
521	1580	1446
522	1582	1443
523	1585	1439
524	1587	1436
525	1592	1434
526	1594	1430
527	1595	1426
528	1598	1423
529	1600	1419
530	1602	1414
531	1607	1413
532	1610	1410
533	1612	1407
534	1614	1403
535	1617	1399
536	1619	1396
537	1625	1395
538	1627	1391
539	1629	1387
540	1630	1383
541	1632	1379
542	1636	1377
543	1639	1374
544	1641	1370
545	1643	1366
546	1645	1362
547	1647	1358
548	1649	1355
549	1655	1354
550	1657	1350
551	1658	1346
552	1660	1342
553	1663	1339
554	1665	1335
555	1670	1333
556	1672	1330
557	1674	1326
558	1676	1322
559	1680	1320
560	1685	1319
561	1687	1315
562	1689	1311
563	1692	1308
564	1694	1304
565	1696	1300
566	1701	1299
567	1703	1295
568	1706	1292
569	1708	1289
570	1711	1285
571	1714	1282
572	1716	1279
573	1720	1276
574	1722	1272
575	1724	1269
576	1726	1265
577	1730	1263
578	1733	1260
579	1735	1256
580	1738	1254
581	1741	1251
582	1749	1251
583	1751	1247
584	1754	1244
585	1757	1241
586	1760	1238
587	1765	1237
588	1768	1233
589	1770	1230
590	1772	1226
591	1777	1225
592	1780	1222
593	1782	1218
594	1785	1215
595	1787	1211
596	1789	1207
597	1794	1206
598	1797	1203
599	1798	1199
600	1803	1197
601	1806	1194
602	1814	1194
603	1815	1190
604	1818	1187
605	1820	1183
606	1825	1182
607	1827	1178
608	1831	1176
609	1834	1172
610	1835	1168
611	1842	1167
612	1844	1164
613	1846	1161
614	1848	1157
615	1850	1153
616	1854	1151
617	1858	1148
618	1860	1145
619	1863	1141
620	1865	1138
621	1866	1134
622	1873	1133
623	1875	1129
624	1878	1126
625	1880	1123
626	1881	1119
627	1883	1115
628	1888	1114
629	1891	1110
630	1893	1107
631	1895	1103
632	1897	1100
633	1901	1097
634	1903	1094
635	1907	1091
636	1908	1087
637	1910	1084
638	1912	1080
639	1914	1077
640	1919	1074
641	1921	1071
642	1923	1067
643	1925	1064
644	1927	1060
645	1929	1057
646	1934	1055
647	1936	1052
648	1939	1048
649	1940	1045
650	1942	1041
651	1945	1038
652	1949	1035
653	1951	1032
654	1953	1029
655	1955	1025
656	1957	1021
657	1959	1018
658	1961	1014
659	1965	1012
660	1967	1008
661	1969	1005
662	1971	1002
663	1973	998
664	1975	994
665	1976	991
666	1982	989
667	1983	985
668	1985	982
669	1987	978
670	1989	975
671	1991	972
672	1995	969
673	1997	966
674	2000	963
675	2002	959
676	2003	956
677	2005	952
678	2007	949
679	2012	946
680	2014	943
681	2016	940
682	2018	936
683	2020	933
684	2022	929
685	2027	927
686	2029	924
687	2031	921
688	2032	917
689	2034	914
690	2037	911
691	2043	909
692	2045	906
693	2047	902
694	2049	899
695	2051	896
696	2053	892
697	2058	890
698	2060	887
699	2062	883
700	2064	880
701	2066	877
702	2068	873
703	2070	870
704	2075	868
705	2077	865
706	2080	862
707	2099	865
708	2107	865
709	2110	861
710	2113	859
711	2116	855
712	2124	855
713	2126	851
714	2129	848
715	2132	845
716	2138	844
717	2142	841
718	2144	838
719	2146	834
720	2147	831
721	2153	829
722	2156	826
723	2159	823
724	2161	819
725	2163	816
726	2169	814
727	2171	811
728	2173	807
729	2175	804
730	2178	801
731	2180	798
732	2185	795
733	2187	792
734	2189	789
735	2191	786
736	2193	782
737	2195	779
738	2201	777
739	2203	774
740	2205	770
741	2207	767
742	2209	764
743	2211	760
744	2216	758
745	2218	755
746	2219	751
747	2221	748
748	2223	745
749	2225	741
750	2228	738
751	2230	735
752	2233	732
753	2235	729
754	2237	725
755	2239	722
756	2241	719
757	2246	717
758	2247	713
759	2249	710
760	2252	707
761	2253	703
762	2255	700
763	2259	698
764	2262	695
765	2264	691
766	2266	688
767	2267	685
768	2270	682
769	2274	679
770	2276	676
771	2279	673
772	2280	669
773	2282	666
774	2284	663
775	2286	660
776	2291	657
777	2293	654
778	2295	651
779	2296	647
780	2299	644
781	2301	641
782	2302	638
783	2306	635
784	2308	632
785	2310	629
786	2312	625
787	2314	622
788	2316	619
789	2318	616
790	2322	613
791	2324	610
792	2327	607
793	2328	604
794	2331	601
795	2333	597
796	2337	595
797	2339	592
798	2341	589
799	2346	586
800	2348	583
801	2356	581
802	2358	578
803	2365	576
804	2372	574
805	2375	571
806	2376	568
807	2379	565
808	2381	562
809	2387	560
810	2390	557
811	2393	554
812	2395	551
813	2397	547
814	2402	545
815	2404	542
816	2407	539
817	2409	536
818	2412	533
819	2416	530
820	2419	527
821	2422	524
822	2424	521
823	2426	518
824	2432	515
825	2434	512
826	2436	509
827	2440	506
828	2442	503
829	2444	500
830	2452	498
831	2454	495
832	2458	492
833	2464	490
834	2523	498
835	2525	495
836	2531	493
837	2534	489
838	2537	486
839	2539	483
840	2541	480
841	2547	478
842	2549	474
843	2551	471
844	2555	468
845	2557	465
846	2615	472
847	2620	469
848	2636	468
849	2638	465
850	2645	463
851	2647	459
852	2650	456
853	2653	453
854	2660	451
855	2662	447
856	2665	444
857	2667	441
858	2669	438
859	2675	435
860	2678	432
861	2680	429
862	2683	425
863	2684	422
864	2689	419
865	2692	416
866	2694	413
867	2696	410
868	2698	406
869	2700	403
870	2705	400
871	2708	397
872	2710	394
873	2712	391
874	2714	387
875	2716	384
876	2722	381
877	2724	378
878	2726	375
879	2728	372
880	2730	368
881	2736	366
882	2738	362
883	2740	359
884	2742	356
885	2744	353
886	2746	349
887	2751	347
888	2753	343
889	2756	340
890	2757	337
891	2759	334
892	2761	330
893	2763	327
894	2767	324
895	2769	321
896	2771	318
897	2773	315
898	2775	311
899	2777	308
900	2782	305
901	2784	302
902	2786	299
903	2787	296
904	2789	292
905	2792	289
906	2795	286
907	2798	283
908	2800	280
909	2802	277
910	2804	273
911	2806	270
912	2807	267
913	2813	264
914	2815	261
915	2817	258
916	2819	255
917	2821	251
918	2822	248
919	2824	245
920	2828	242
921	2830	239
922	2832	236
923	2834	233
924	2836	229
925	2838	226
926	2842	223
927	2844	220
928	2846	217
929	2848	214
930	2850	211
931	2852	208
932	2854	204
933	2859	202
934	2860	198
935	2864	195
936	2867	192
937	2869	189
938	2870	186
939	2876	183
940	2877	180
941	2879	177
942	2881	174
943	2883	171
944	2885	167
945	2889	164
946	2891	161
947	2893	158
948	2895	155
949	2897	152
950	2899	149
951	2901	146
952	2905	143
953	2907	140
954	2909	137
955	2911	133
956	2913	130
957	2915	127
958	2917	124
959	2920	121
960	2923	118
961	2924	115
962	2926	112
963	2928	109
964	2930	106
965	2932	103
966	2935	100
967	2937	97
968	2939	94
969	2941	90
970	2943	87
971	2945	84
972	2947	81
973	2951	78
974	2954	75
975	2956	72
976	2957	69
977	2960	66
978	2962	63
979	2964	60
980	2967	57
981	2970	54
982	2972	51
983	2973	48
984	2975	45
985	2978	42
986	2979	39
987	2983	36
988	2985	33
989	2988	30
990	2990	27
991	2991	24
992	2993	21
993	2995	18
994	2997	15
995	2999	12
996	3000	9
997	3003	6
998	3004	3
999	3007	0
