iter	Logloss
123	0.4681790805
124	0.4673753446
125	0.4662344979
126	0.4652483173
127	0.4640717943
128	0.4629327495
129	0.4618131845
130	0.4605753364
131	0.4597227304
132	0.4586636686
133	0.4575447295
134	0.4564621979
135	0.4554948952
136	0.4541844369
137	0.4530509361
138	0.4518588752
139	0.4502311349
140	0.4489990378
141	0.4475823837
142	0.4460796416
143	0.444767039
144	0.4439084188
145	0.4426804999
146	0.4417231606
147	0.4407221522
148	0.4396460325
149	0.4386252579
150	0.4375643447
151	0.4363639929
152	0.4352922847
153	0.4343473032
154	0.433429673
155	0.4323914887
156	0.4313838373
157	0.4302378471
158	0.4288909908
159	0.4277913469
160	0.4265257244
161	0.4253555689
162	0.4243367198
163	0.4231402729
164	0.4221654876
165	0.4214801941
166	0.420543281
167	0.4196776014
168	0.4187319017
169	0.4179803046
170	0.4169652847
171	0.4159401764
172	0.4147632333
173	0.4137686738
174	0.4126301357
175	0.4118451738
176	0.4110717897
177	0.4101700012
178	0.4093866428
179	0.4087087759
180	0.4074965861
181	0.4067741756
182	0.4059260989
183	0.4052373687
184	0.4042086303
185	0.4032924844
186	0.4023253554
187	0.4012818962
188	0.4005283146
189	0.3993936741
190	0.398693619
191	0.3979814074
192	0.397140516
193	0.3962868067
194	0.3959299878
195	0.3951054673
196	0.3942449623
197	0.3936543058
198	0.3927863044
199	0.3917673957
200	0.3907282781
201	0.3899586353
202	0.389090727
203	0.3882215045
204	0.3876841679
205	0.3870029646
206	0.3862038189
207	0.3852660961
208	0.3842930336
209	0.3835388444
210	0.3825588306
211	0.3817264997
212	0.3810263654
213	0.3799964364
214	0.378963224
215	0.3781272834
216	0.3774138282
217	0.3766428654
218	0.3758757638
219	0.3751038291
220	0.3741133199
221	0.3734781364
222	0.3720679821
223	0.3713506729
224	0.3704298924
225	0.3697376477
226	0.3690217588
227	0.3681969112
228	0.3672629966
229	0.3665781806
230	0.3657401946
231	0.3651064024
232	0.3644482755
233	0.3640213899
234	0.3631648552
235	0.362154981
236	0.3616554141
237	0.3606900035
238	0.3602980317
239	0.3594996057
240	0.3587423621
241	0.3580939494
242	0.3575791688
243	0.3567981444
244	0.3560284812
245	0.3552299302
246	0.3545667413
247	0.3537375127
248	0.3530920424
249	0.3523154651
250	0.3516578165
251	0.3511130868
252	0.3505515471
253	0.349776457
254	0.3491458835
255	0.348162167
256	0.3474341573
257	0.3463538638
258	0.3456741208
259	0.3448524839
260	0.3443762907
261	0.3438058059
262	0.3431473563
263	0.3426181456
264	0.341907382
265	0.3415009612
266	0.3409357667
267	0.3405272932
268	0.3397806272
269	0.3389689239
270	0.3385279571
271	0.3378522919
272	0.3372317029
273	0.3368178751
274	0.336033635
275	0.3351991642
276	0.3346092323
277	0.3339445489
278	0.3331642631
279	0.3326216122
280	0.3322485729
281	0.3314667213
282	0.3310656998
283	0.330498723
284	0.3298136505
285	0.32931973
286	0.3288743307
287	0.3282083389
288	0.3274962989
289	0.3270328132
290	0.3263444246
291	0.3254809554
292	0.3249038778
293	0.3242672435
294	0.323652439
295	0.3228753195
296	0.3221737699
297	0.3213899397
298	0.3207163447
299	0.3200992128
300	0.3198728721
301	0.3193613451
302	0.3186819742
303	0.3182075954
304	0.3177812274
305	0.3170394418
306	0.3165104171
307	0.3159572191
308	0.315252384
309	0.3147276073
310	0.314229327
311	0.3137901047
312	0.3131731167
313	0.3127251267
314	0.3117011204
315	0.3111321112
316	0.3105241962
317	0.3100463733
318	0.3093743877
319	0.3088062973
320	0.3084076672
321	0.3079975509
322	0.30740067
323	0.3069366987
324	0.3060912882
325	0.3057450565
326	0.3052245684
327	0.3045889503
328	0.3039719579
329	0.3033278875
330	0.3027677478
331	0.3022453145
332	0.3014956785
333	0.3008341062
334	0.3000483222
335	0.2996251787
336	0.2990065857
337	0.2986480158
338	0.2980121679
339	0.297478135
340	0.2971166532
341	0.2966663038
342	0.2962846756
343	0.2957970195
344	0.2951070986
345	0.2947147808
346	0.294360722
347	0.2939074766
348	0.2935371181
349	0.2931303411
350	0.2924900578
351	0.292085966
352	0.291566071
353	0.2908772942
354	0.2901579505
355	0.2897873913
356	0.2893883978
357	0.2889891485
358	0.2883140547
359	0.2879140406
360	0.2873646094
361	0.2869720895
362	0.2865584943
363	0.2861273478
364	0.2855049721
365	0.2851473689
366	0.2846650859
367	0.2841793793
368	0.283894581
369	0.283353855
370	0.2828280039
371	0.2823700265
372	0.281760367
373	0.2812868982
374	0.2809224478
375	0.2804733791
376	0.280127002
377	0.2796723116
378	0.2792256402
379	0.2786732752
380	0.2782760684
381	0.2777431913
382	0.2771856538
383	0.2767127316
384	0.2761535717
385	0.2756782349
386	0.2753029262
387	0.2748113144
388	0.2743972104
389	0.2739791172
390	0.2734893008
391	0.2729139997
392	0.2726275485
393	0.2723975327
394	0.2719921557
395	0.2714354672
396	0.2709397819
397	0.2705522383
398	0.270090785
399	0.2694954799
400	0.2688900014
401	0.2684640943
402	0.268185018
403	0.2676854919
404	0.2673272665
405	0.266895505
406	0.2667262205
407	0.2663165084
408	0.2659585403
409	0.2654936852
410	0.2650008536
411	0.2645071512
412	0.2640745393
413	0.2638030503
414	0.263526617
415	0.2630787783
416	0.2627530999
417	0.26227231
418	0.2619504667
419	0.2613404321
420	0.2610823919
421	0.2606830597
422	0.2600413982
423	0.2597647382
424	0.2595332468
425	0.2591362174
426	0.2588687583
427	0.2583264912
428	0.2579674067
429	0.2575239248
430	0.2572237951
431	0.256556178
432	0.2561200406
433	0.2556590118
434	0.2553102534
435	0.2549617698
436	0.2546597283
437	0.2542710944
438	0.2538013313
439	0.2536042289
440	0.2529205956
441	0.252410108
442	0.2520849647
443	0.2516679502
444	0.2513174342
445	0.2509223964
446	0.2506011754
447	0.2503316606
448	0.2500597951
449	0.2497338304
450	0.2494876443
451	0.2492401353
452	0.2489407586
453	0.2486084671
454	0.248167288
455	0.2477259883
456	0.2474010703
457	0.2469915675
458	0.2467467349
459	0.2464246968
460	0.2459407798
461	0.2456055051
462	0.2451307919
463	0.244932102
464	0.2444566794
465	0.2440983479
466	0.2438098236
467	0.2435297137
468	0.2433343704
469	0.2430395251
470	0.2427406907
471	0.2425064532
472	0.2420105454
473	0.2416808169
474	0.2412814018
475	0.2408837356
476	0.2404029544
477	0.2399284389
478	0.2396484584
479	0.2393054453
480	0.2391130953
481	0.2389002588
482	0.2384998028
483	0.238084687
484	0.2378877692
485	0.2373469894
486	0.2370929006
487	0.2368475388
488	0.2365021139
489	0.2361327831
490	0.2359230286
491	0.2355545774
492	0.2352804687
493	0.2348461224
494	0.2344961195
495	0.234114801
496	0.2339469718
497	0.2333576621
498	0.2331677355
499	0.2328558521
500	0.2326545366
501	0.2323609256
502	0.2319586699
503	0.2316396251
504	0.2313021756
505	0.2309729137
506	0.2305678449
507	0.2302983156
508	0.2300568543
509	0.2296183109
510	0.2291801252
511	0.228668492
512	0.2282488172
513	0.2280789396
514	0.227590747
515	0.2272210601
516	0.2267876878
517	0.2264270215
518	0.226213855
519	0.2258730225
520	0.2255541653
521	0.2252904511
522	0.224955835
523	0.2246897177
524	0.224524623
525	0.2241693401
526	0.223835682
527	0.2235158522
528	0.2231188053
529	0.2228342585
530	0.2226544604
531	0.2223108193
532	0.2219516242
533	0.2215850862
534	0.2213670597
535	0.2210426374
536	0.2208085598
537	0.2205800487
538	0.2202874015
539	0.2199719403
540	0.2197874029
541	0.2196546866
542	0.2193103375
543	0.2190247062
544	0.2187176507
545	0.2182713282
546	0.217995853
547	0.2178737318
548	0.2175140134
549	0.2171851237
550	0.2168269972
551	0.2165702
552	0.2163087333
553	0.2160595088
554	0.2157561285
555	0.2154968861
556	0.215088398
557	0.2147544375
558	0.2145771442
559	0.2144104911
560	0.2139970137
561	0.2137553459
562	0.2133704773
563	0.213060693
564	0.2128254364
565	0.2126069665
566	0.2122829149
567	0.2119958066
568	0.21180695
569	0.2114798078
570	0.2112306909
571	0.2110109954
572	0.2108138393
573	0.2105070789
574	0.2103260334
575	0.2099433861
576	0.2095795928
577	0.2094230463
578	0.2091386129
579	0.2089433626
580	0.2087241164
581	0.2084851221
582	0.2082133409
583	0.2079750488
584	0.2076910763
585	0.2074343795
586	0.2071923468
587	0.2068369679
588	0.2064490028
589	0.2061621532
590	0.2057670326
591	0.2054752548
592	0.205124842
593	0.2048488884
594	0.2045602857
595	0.2042868995
596	0.2040511297
597	0.2037677867
598	0.2035610211
599	0.2033633299
600	0.2032230177
601	0.2029740229
602	0.2025910979
603	0.2023700607
604	0.2020728254
605	0.2018296297
606	0.2016626785
607	0.2013240151
608	0.201022308
609	0.2007672598
610	0.2003681354
611	0.2000902397
612	0.1998426042
613	0.1996642351
614	0.1992815181
615	0.1990910928
616	0.198934494
617	0.1986727293
618	0.198394569
619	0.1981792668
620	0.1978709785
621	0.1977425814
622	0.1976085596
623	0.1973664964
624	0.197184615
625	0.1969587658
626	0.1968940031
627	0.1966829125
628	0.1964351346
629	0.1961056605
630	0.1958763396
631	0.1955925197
632	0.1953453872
633	0.195168344
634	0.1949686713
635	0.1946052226
636	0.1944352621
637	0.1942277565
638	0.1939102586
639	0.1937079779
640	0.1935463271
641	0.1931898158
642	0.1929444772
643	0.1928556983
644	0.1926165005
645	0.1924382303
646	0.1922722415
647	0.1920443017
648	0.1919138606
649	0.1916984058
650	0.1914994484
651	0.1912629401
652	0.1910365384
653	0.1908130122
654	0.190429923
655	0.1903107922
656	0.1900222331
657	0.1898267095
658	0.1896816114
659	0.1894412506
660	0.18913176
661	0.1890097566
662	0.1888349056
663	0.1886512972
664	0.1884471847
665	0.1882340152
666	0.1880993087
667	0.1878133518
668	0.1875276362
669	0.1873984424
670	0.1872091119
671	0.1870394131
672	0.1867710294
673	0.1864500918
674	0.1860978429
675	0.1858600378
676	0.1857462511
677	0.1855540595
678	0.1853182607
679	0.1850713288
680	0.1849740482
681	0.1846805171
682	0.1844407553
683	0.1842597781
684	0.1839913857
685	0.1836413697
686	0.1834291772
687	0.183127537
688	0.182833439
689	0.1826369646
690	0.1824639309
691	0.1822217877
692	0.1819275501
693	0.1816721166
694	0.1815271523
695	0.1813321114
696	0.1810542956
697	0.1807496431
698	0.1806015329
699	0.1804294761
700	0.1803131743
701	0.1801407424
702	0.1799014632
703	0.1797009445
704	0.1795269861
705	0.1793281218
706	0.1791016736
707	0.1789999735
708	0.1787871995
709	0.1786534437
710	0.1784116001
711	0.1782327919
712	0.1779934081
713	0.1777627236
714	0.1775400493
715	0.1772530428
716	0.1770647299
717	0.1768808539
718	0.1766654108
719	0.1764077675
720	0.176361997
721	0.1761915219
722	0.1760094079
723	0.1757499096
724	0.1755648939
725	0.1752969783
726	0.1750922319
727	0.1748396536
728	0.1745529844
729	0.1742748167
730	0.1740434431
731	0.1738680921
732	0.1737629873
733	0.1734697266
734	0.1733479965
735	0.1731935565
736	0.172980483
737	0.1728624222
738	0.172733147
739	0.1726062152
740	0.1723334528
741	0.1721319076
742	0.1719795495
743	0.1718009594
744	0.1716669682
745	0.1714923556
746	0.1713582394
747	0.1712343518
748	0.1710681363
749	0.1709505232
750	0.170806373
751	0.1706066888
752	0.1704510741
753	0.1702648401
754	0.1701035151
755	0.1697998687
756	0.1696818078
757	0.1694318754
758	0.1691718131
759	0.1690240575
760	0.1688130716
761	0.1686623213
762	0.1685299815
763	0.1683632775
764	0.168193192
765	0.1680349897
766	0.1679190223
767	0.1676682176
768	0.1674760929
769	0.1672275677
770	0.1670340154
771	0.1668650057
772	0.1667132843
773	0.1664190147
774	0.1662415092
775	0.1659859942
776	0.1657592698
777	0.1654585745
778	0.1652846685
779	0.1651552334
780	0.1649836971
781	0.1647520327
782	0.1646388624
783	0.1644200261
784	0.1642146314
785	0.1640430049
786	0.163770068
787	0.1636500998
788	0.1634041798
789	0.1632427878
790	0.1630018542
791	0.16287016
792	0.1627391664
793	0.162531655
794	0.1623496806
795	0.1620996231
796	0.1618765331
797	0.1617797846
798	0.1615818913
799	0.1614031268
800	0.1612708888
801	0.1611664208
802	0.1608574623
803	0.1606978236
804	0.1605544672
805	0.1603921303
806	0.1603670934
807	0.1601864855
808	0.1600281669
809	0.1598652369
810	0.1597256021
811	0.1595378649
812	0.1594180596
813	0.1593019235
814	0.159102751
815	0.158913371
816	0.1587817233
817	0.1586136731
818	0.1584338706
819	0.1581938267
820	0.1579961864
821	0.1578581391
822	0.1576602982
823	0.15748247
824	0.157391554
825	0.1571953994
826	0.157076635
827	0.1568708623
828	0.1567125669
829	0.1565178516
830	0.1563764723
831	0.1562242857
832	0.156020493
833	0.1558588104
834	0.155723534
835	0.1554805215
836	0.1553266717
837	0.1551770175
838	0.1550282153
839	0.1547942249
840	0.1545966893
841	0.1543263546
842	0.1542602487
843	0.1540772246
844	0.153991455
845	0.1537647509
846	0.1535141206
847	0.1533602941
848	0.1531742608
849	0.1530248944
850	0.1528178046
851	0.1526285381
852	0.152378059
853	0.1522080927
854	0.1519577968
855	0.1517910434
856	0.1516537085
857	0.1513803354
858	0.1513354458
859	0.1511677533
860	0.1510887117
861	0.1508680989
862	0.1507440137
863	0.1506858657
864	0.1504536315
865	0.1502472773
866	0.1500693531
867	0.1498963629
868	0.1497609703
869	0.1495891199
870	0.1494209272
871	0.1490768834
872	0.1489274385
873	0.1487574403
874	0.1485102089
875	0.1483717285
876	0.1482735087
877	0.1481207871
878	0.1479347246
879	0.1477367442
880	0.1475641611
881	0.1474309142
882	0.1472788032
883	0.1470604583
884	0.1468507604
885	0.1466370705
886	0.1464872884
887	0.1463265041
888	0.1462083154
889	0.146117632
890	0.1459543618
891	0.1458449771
892	0.1456938895
893	0.1455788293
894	0.1454162132
895	0.1452632474
896	0.1450018243
897	0.1448295843
898	0.1447021409
899	0.1444825486
900	0.14436181
901	0.1442093791
902	0.144091138
903	0.1439968086
904	0.1439232768
905	0.1437186177
906	0.1435537193
907	0.1434473962
908	0.1433794615
909	0.1432238294
910	0.1429213838
911	0.142777661
912	0.1426284052
913	0.142462617
914	0.1422841462
915	0.1421821699
916	0.1419726494
917	0.1418860308
918	0.1417533828
919	0.1416045224
920	0.1415069365
921	0.1414376003
922	0.1413397934
923	0.1411860454
924	0.1409744082
925	0.1408142927
926	0.1406784988
927	0.1404795007
928	0.1403766609
929	0.1401960268
930	0.1399616207
931	0.1398306009
932	0.1397121418
933	0.1395113788
934	0.1392952843
935	0.1391237654
936	0.1390044805
937	0.1388144958
938	0.1387120834
939	0.1385886785
940	0.1385159202
941	0.1383522545
942	0.1381875102
943	0.1380899214
944	0.1379381331
945	0.1377858738
946	0.137645954
947	0.1374300369
948	0.1373625965
949	0.1371462113
950	0.13701568
951	0.1368741117
952	0.1367032731
953	0.1366243973
954	0.1365037953
955	0.1363404291
956	0.1362378946
957	0.1360725804
958	0.1359293461
959	0.1356862289
960	0.1355353681
961	0.1354135624
962	0.1352849094
963	0.1351997678
964	0.1349910556
965	0.1348781702
966	0.1347560766
967	0.1345749279
968	0.134460833
969	0.1342569619
970	0.1341820955
971	0.1340670876
972	0.1338922832
973	0.1337130622
974	0.133542372
975	0.1334392094
976	0.1332392576
977	0.1330576205
978	0.1328648765
979	0.1327278381
980	0.1325715402
981	0.1324748848
982	0.1323263761
983	0.1321706394
984	0.1320003446
985	0.1318793704
986	0.1316874667
987	0.1316162144
988	0.1315424937
989	0.1313055928
990	0.131209545
991	0.1309767554
992	0.1308922506
993	0.1308466341
994	0.1307168821
995	0.130527005
996	0.1303584547
997	0.1301987258
998	0.1300556805
999	0.1299569898
