pais,desarrollo_humano_porcentaje,pib_usd_per_capita,irradiancia_kwh/m2/day,coste_construccion_usd/kwh,consumo_kwh_per_capita,tarifa_luz_uscent/kwh,capacidad_instalada_wp_per_capita
Sierra Leone,0.418987064789857,522.858128404118,5.1185,0.104,,20.4,0.5490085559061948
Argentina,0.824849650008413,11652.5662897487,5.1243,0.1084,3074.70207056563,15.5,4.299407598718601
Barbados,0.800268630951227,16327.6072290756,5.7734,0.0901,,25.8,83.72842684752007
R. B. de Venezuela,0.760772990078813,,5.3497,0.0977,2718.94277456043,,0.13855119440654973
Andorra,0.857683594255898,42029.7627372989,4.049,0.0986,,,0.0
Canada,0.925952398500717,46210.5476227883,3.2515,0.1767,15588.4871464315,13.3,84.00151370026101
Saint Lucia,0.747049152119122,10315.0260751215,5.3959,0.0943,,30.9,20.891862619509702
Puerto Rico (U.S.),,31651.3481514031,5.2681,0.0969,,24.5,51.703314363975686
Qatar,0.855616448244128,69026.4688025751,5.8988,0.0863,14781.648325999,4.0,1.833426382718051
Poland,0.865075040942413,15424.0460254454,2.977,0.1192,3971.79976131055,13.2,12.809863083759812
Australia,0.938631285106575,57305.2990162045,5.7587,0.0949,10071.3989785006,23.1,390.64323994256006
France,0.900802439918752,41463.6440227034,3.4825,0.0954,6939.52147366929,13.0,141.57023686479772
Moldova,0.699753399052754,3189.35581212262,3.5516,0.1232,1386.23443895606,8.8,0.5640344027143591
D. P. R. of Korea,,,3.8578,0.1084,601.690047854253,,0.41878965952752933
Suriname,0.719612421871166,5950.21394733953,5.3777,0.0993,3596.77772094427,7.3,11.97935384407048
Aruba (Neth.),,25630.2664922069,6.1098,0.0853,,,57.631442203221695
Tonga,0.725644707457446,4364.01556134949,4.8045,0.1065,,38.5,60.079265870131884
Rwanda,0.523946712393506,772.967838382225,5.0756,0.1037,,13.9,2.4630263570645243
Guinea-Bissau,0.455303553228988,777.969921786711,5.6043,0.0953,,24.9,0.6402359482881425
Mauritania,0.519643720758591,1218.59640995207,6.0378,0.0895,,17.7,19.553432308674434
Gabon,0.702216425753829,8029.82238356148,4.5444,0.1181,1167.85221361079,18.9,0.6606032723454955
Cuba,0.777267605527158,8541.21067346641,5.4139,0.0937,1450.88371686603,,8.484638306572032
Nigeria,0.531809699209441,2028.18197017598,5.4364,0.0997,144.525462223266,13.6,0.09751129727089874
Brunei Darussalam,0.853266971770683,31627.7420793167,4.8409,0.1092,10291.1640460845,5.2,2.7974505900289537
Colombia,0.74704538259088,6651.29129267621,4.867,0.1059,1312.15750301437,13.2,1.7422415115324807
Lithuania,0.858135144524458,19089.7075056564,2.8246,0.1241,3821.1451704374,8.3,30.0408706403545
Timor-Leste,0.624944097670165,2035.53390768881,5.3165,0.0982,,21.5,0.4731965690094103
Northern Mariana Islands (U.S.),,28163.7848732364,5.5614,0.0914,,,0.0
Senegal,0.505133722911853,1521.9535542169,5.7981,0.0927,229.351795106376,17.3,8.451933726747722
Bolivia,0.692536970509311,3548.59013979338,5.4239,0.0884,742.538399742886,17.0,6.253775386584612
Belize,0.707553154366279,5025.17810014332,5.0491,0.1018,,19.5,10.964024945767234
Romania,0.81119175021268,12301.1864034302,3.5742,0.1207,2584.41178726443,5.9,70.71503161969927
Turkey,0.790633980714653,9311.36611728167,4.5979,0.0824,2847.12638262318,10.1,61.50287870255736
Hungary,0.837844633948344,15938.8367965554,3.5222,0.1035,3965.95823348335,17.6,68.07397235173053
Congo,0.60628258195365,2147.76946104594,4.8604,0.1132,202.872128916055,8.2,0.11440855638711508
Slovenia,0.896223828558909,26234.0228962506,3.4522,0.104,6727.99930164211,14.6,123.73196502612979
Cyprus,0.868784385398697,28159.3016999455,5.2104,0.0905,3624.97125277167,14.9,95.01666996001732
Kyrgyz Republic,0.672193033246671,1281.36366078545,4.114,0.1036,1941.22183189101,2.9,0.0
Saudi Arabia,0.853298638212284,23219.1304831033,6.208,0.0859,9401.36676935668,7.6,2.6498557994764798
Costa Rica,0.793864631683322,12026.5475337333,4.8909,0.1048,1942.48816990297,14.4,5.600626150003571
Pakistan,0.561602585681407,1472.89313366943,5.3411,0.0906,447.501002589131,18.7,7.3892033000678605
Albania,0.784910973404969,5253.63006411357,4.1954,0.1051,2309.36650255581,8.7,0.3488725833596151
Liechtenstein,0.91608286799234,165028.245029187,3.1691,0.1277,,9.3,0.0
Dominican Republic,0.735797919422381,7650.07275254505,5.4198,0.0932,1615.51524233024,20.4,15.648576078380264
Nicaragua,0.657739789115881,2028.89689057351,5.0415,0.104,568.313810807014,33.7,4.686403074280417
Trinidad and Tobago,0.783915259601077,16843.701611713,5.3849,0.0978,7092.93261163496,6.7,2.3743432782341793
Singapore,0.932041606432207,64581.9440183954,4.4924,0.1205,8844.68759301201,10.2,26.601989545063415
Vietnam,0.693998062133881,2563.82073058085,4.2521,0.1219,1423.68834535005,12.3,1.1136650628249967
Germany,0.936043420154955,48195.5799044116,2.9777,0.1119,7035.48297471676,32.2,553.8544665329972
Haiti,0.497945110627506,868.284799613704,5.5361,0.0911,39.0558050576888,22.7,0.23374618903809488
